Engagements,Followers at Posting,Type,Description
769422,36686842,Video,"Kawhi goes up on the right, finishes under the left!! (??: @nbaontnt)"
693385,36686842,Video,Kawhi with the STEAL & SLAM for the @raptors on TNT! #NBAPlayoffs
646168,36686842,Video,@3jmccollum puts up 37 to lead the @trailblazers in road GAME 7 victory to advance to the WCF!
365421,36686842,Photo,The @trailblazers defeat the @nuggets 100-96 in GAME 7 to advance to the Western Conference Finals!
654401,36686842,Video,The best action down the stretch as the @trailblazers win GAME 7 on the road to advance to the WCF!
654401,36686842,Video,@damianlillard with a Mother’s Day hug for mom following the GAME 7 WIN!
402092,36686842,Photo,The @trailblazers advance to the Western Conference Finals! #NBAPlayoffs
633797,36686842,Video,@3jmccollum hustles back for the CHASEDOWN! #NBAonABC
591498,36686842,Video,?? how the @sixers & @raptors got to GAME 7 (7:00pm/et @nbaontnt)!
633797,36686842,Video,"@thats_g_ gets it to fall, plus the foul! #NBAonABC"
578158,36686842,Video,@jmglitxh27 hangs for the @nuggets finish in GAME 7! #NBAonABC
288127,36686842,Photo,The @sixers & @raptors each look to advance to the Eastern Conference Finals with a GAME 7 WIN... 7:00pm/et @nbaontnt!
639194,36686842,Video,?? how the @trailblazers & @nuggets got to GAME 7 (3:30pm/et #NBAonABC)!
333581,36686842,Photo,The @trailblazers & @nuggets each look to advance to the Western Conference Finals with a GAME 7 WIN... 3:30pm/et #NBAonABC!
793110,36686842,Video,?? HAPPY MOTHER’S DAY! ??
403891,36686842,Photo,It’s GAME 7 SUNDAY!
754705,36655209,Video,"?? DAME: The Origin Story ??
...
??: BLAZERS/NUGGETS Game 7
?: 3:30pm/et Sunday
??: #NBAonABC"
413357,36655209,Photo,We’ve got two GAME 7s on Sunday with trips to the Conference Finals on the line!! #NBAPlayoffs
516495,36655209,Photo,The @warriors advance to the Western Conference Finals... with two Game 7s on deck Sunday!
798306,36655209,Video,@stephencurry30 puts up 23 in the 4th to lead the @warriors to victory! #NBAPlayoffs
469391,36655209,Photo,The @warriors defeat the @houstonrockets 118-113 to advance to the Western Conference Finals!
459356,36655209,Photo,The @warriors advance to the Western Conference Finals! #NBAPlayoffs
675214,36655209,Video,@klaythompson with the late triple to extend the @warriors lead on ESPN! #NBAPlayoffs
648043,36655209,Video,@jharden13 with the save & triple for the @houstonrockets on ESPN! #NBAPlayoffs
689788,36655209,Video,@sdot1414 soars for the @warriors SLAM on ESPN!
647599,36655209,Video,@cp3 gets to his spot in transition on ESPN! #NBAPlayoffs
379390,36655209,Album,Jay Z & @beyonce courtside for @warriors/@houstonrockets Game 6 on ESPN! #NBAPlayoffs #NBACelebRow
610554,36632094,Video,"The @houstonrockets move the ball to find @officialeg10 wide open on the wing! #NBABreakdown!
...
??: WARRIORS/ROCKETS Game 6
?: 9:00pm/et ??: ESPN"
346280,36632094,Photo,It’s WIN or Go Home for the @houstonrockets as the @warriors look to advance to the Western Conference Finals... 9:00pm/et @nbaonespn!
365969,36632094,Photo,The @sixers & @trailblazers each win at home to force GAME 7s on Sunday!
504415,36632094,Video,"@damianlillard (32p), @3jmccollum (30p) & @hoodie5 (25p) combine for 87 to lead the @trailblazers in Game 6 victory! #NBAPlayoffs"
552958,36632094,Video,@damianlillard & @3jmccollum head to the lockerroom with a @trailblazers Game 6 W to force a GAME 7 on Sunday! #NBAPlayoffs
365969,36632094,Photo,The @trailblazers force a GAME 7 with 119-108 victory over the @nuggets at home! #NBAPlayoffs
678849,36632094,Video,"That’s tough, @damianlillard!!"
606171,36632094,Video,@hoodie5’s up to a new #NBAPlayoffs career-high 22 for the @trailblazers on ESPN!
808337,36632094,Video,Logo Lillard pulls up! (??: ESPN)
647611,36632094,Video,@damianlillard is finding his groove on ESPN! #NBAPlayoffs
380131,36632094,Photo,The @sixers force a GAME 7 with 112-101 victory over the @raptors at home! #NBAPlayoffs
603511,36632094,Video,@joelembiid’s block sets up @bensimmons in transition!
661590,36632094,Video,@jimmybutler follows up his miss on ESPN!
725257,36632094,Video,The KLAW elevates for the board on ESPN!
647611,36632094,Video,@tobiasharris opens up scoring in Philadelphia on ESPN! #NBAPlayoffs
556966,36608321,Video,"?? Nikola Jokic’s Court Vision! #NBABreakdown
...
??: @nuggets x @trailblazers Game 6
?: 10:30pm/et
??: @nbaonespn"
299679,36608321,Photo,It’s WIN or Go Home for the @sixers as the @raptors look to advance to the Eastern Conference Finals... 8:00pm/et @nbaonespn!
627177,36608321,Video,“I knew that people would doubt me.” - @damianlillard is #HeretoCreate
453378,36608321,Photo,The @Bucks advance to the Eastern Conference Finals (4-1) and @warriors take 3-2 series lead in Wednesday’s #NBAPlayoffs action!
608922,36608321,Video,@klaythompson finishes with the left for the clutch @warriors bucket! #PhantomCam
759530,36608321,Video,@warriors come up clutch down the stretch to take a 3-2 series lead! #NBAPlayoffs
498876,36608321,Photo,The @warriors take a 3-2 series lead with 104-99 home win! #NBAPlayoffs
672657,36608321,Video,@officialeg10 between the eyes! (??: @nbaontnt)
673117,36608321,Video,@jharden13 dumps it off to @pjtucker for the SLAM! (??: @nbaontnt)
615205,36608321,Video,"@stephencurry30 finishes, through the lens of our slo-mo #PhantomCam! #NBAPlayoffs"
635749,36608321,Video,@easymoneysniper hits ahead to @stephencurry30 on TNT! #NBAPlayoffs
647623,36608321,Video,@andre ELEVATES early in Game 5 on TNT! #NBAPlayoffs
661602,36608321,Video,"Game 5 in Oakland, @nbaontnt NEXT!"
385369,36608321,Photo,The @bucks advance to the Eastern Conference Finals! #NBAPlayoffs
771154,36608321,Video,Brogdon UP TOP to Hill! #NBAPlayoffs (??: TNT)
788535,36608321,Video,@giannis_an34 & @kyrieirving show out before the half on TNT! #NBAPlayoffs
590770,36608321,Video,@giannis_an34 protects the paint for the @bucks on TNT! #NBAPlayoffs
341420,36590040,Photo,"For the first time in @nbahistory, two opposing players are each averaging 35+ PPG in #NBAPlayoffs series!
??: @houstonrockets x @warriors Game 5 ?: 10:30pm/et ??: @nbaontnt"
576028,36590040,Video,"?? @money23green mic’d up! ??
...
??: @houstonrockets x @warriors Game 5
?: 10:30pm/et ??: @nbaontnt"
471569,36590040,Video,"In @BudweiserUSA #LegendaryMoments history, we showcase Gerald Henderson’s clutch steal for the @celtics in Game 2 of the 1984 #NBAFinals! Who do you have tonight... @celtics or @bucks?"
322058,36590040,Photo,The @houstonrockets & @warriors each look to take 3-2 series lead with a win... 10:30pm/et @nbaontnt!
360753,36590040,Photo,It’s WIN or Go Home for the @celtics as the @bucks look to advance to the Eastern Conference Finals... 8:00pm/et @nbaontnt!
358126,36590040,Photo,The @raptors & @nuggets each win at home for 3-2 series leads! #NBAPlayoffs
606193,36590040,Video,Nikola Jokic (25p/19r) & @paulmillsap4 (24p/8r) power the @nuggets Game 5 victory for 3-2 lead! #NBAPlayoffs
358126,36590040,Photo,The @nuggets take 3-2 series lead over @trailblazers with 124-98 at home! #NBAPlayoffs
641715,36590040,Video,"@jmglitxh27 under the rim, three times! #NBAPlayoffs (??: @nbaontnt)"
725284,36590040,Video,Kawhi won’t be denied!!
709959,36590040,Video,KAWHI RISES UP on TNT! #NBAPlayoffs
655567,36590040,Video,@sergeibaka off the dribble ?? (??: @nbaontnt)
661614,36590040,Video,The @raptors turn defense into the Kawhi SLAM!
463487,36564548,Video,"@joelembiid & @sergeibaka protect the paint! #NBABreakdown ??: @sixers/@raptors G5
?: 8:00pm/et ??: @nbaontnt"
539003,36564548,Video,"In @BudweiserUSA #LegendaryMoments history, we showcase @kennysmith’s 7-three performance in Game 1 of the 1995 #NBAFinals! Who do you have in Game 5 Wednesday...@houstonrockets or @warriors?"
353893,36564548,Album,Two pivotal Game 5s in tonight’s @nbaontnt #NBAPlayoffs action!
679351,36564548,Video,@jharden13 puts up game-high 38 in @houstonrockets Game 4 victory!
442193,36564548,Photo,The @houstonrockets even their series with the @warriors 2-2 on 112-108 home victory! #NBAPlayoffs
590792,36564548,Video,@cp3 handle & dime to @austinjrivers on TNT! #NBAPlayoffs
771710,36564548,Video,@jharden13 slips the screen for the layup to end the 3rd Q! #NBAPlayoffs (??: TNT)
365439,36564548,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 12th on the #NBAPlayoffs 3PM list!
641727,36564548,Video,@easymoneysniper fakes & drops it off to @flyght5! #NBAPlayoffs (??: TNT)
757044,36564548,Video,@stephencurry30 handles early in Game 4! #NBAPlayoffs (??: TNT)
453792,36564548,Photo,The @bucks take 3-1 series lead over @celtics with 113-101 victory in Boston! #NBAPlayoffs
647646,36564548,Video,@giannis_an34 DOWN THE LANE! #NBAPlayoffs
703483,36564548,Video,?? the block & the and-1 finish for @giannis_an34 on TNT! #NBAPlayoffs
590792,36564548,Video,@patconnaughton turns defense into offense with the BLOCK & SLAM for the @bucks on TNT! #NBAPlayoffs
788563,36564548,Video,@kyrieirving breaks free to find @alhorford on TNT! #NBAPlayoffs
590802,36542637,Video,@giannis_an34 fights through the lane for the @bucks! #NBAPlayoffs
590802,36542637,Video,@thebledshow goes up & under for the @bucks on TNT! #NBAPlayoffs
497890,36542637,Video,@youngamechanger is available to play for the @celtics tonight (7:00pm/et @nbaontnt)! #NBAPlayoffs
580747,36542637,Video,"@ccapela15 protects the paint for the @houstonrockets! #NBABreakdown
...
??: @warriors x @houstonrockets Game 4
?: 9:30pm/et ??: TNT"
727837,36542637,Video,"???? GIANNIS: THE ORIGIN STORY ????
??????
??: BUCKS/CELTICS Game 4
?: 7pm/et ??: TNT"
344646,36542637,Album,The @bucks and @warriors seek commanding 3-1 leads... while the @celtics and @houstonrockets look to even it up 2-2 in tonight’s @nbaontnt #NBAPlayoffs action!
383830,36542637,Photo,The #NBAPlayoffs bracket ahead of tonight’s action!
333549,36542637,Photo,Join us in wishing @cp3 of the @houstonrockets a HAPPY 34th BIRTHDAY! #NBABDAY
365075,36542637,Photo,The @raptors (2-2) and @nuggets (2-2) both won on the road in Sunday’s #NBAPlayoffs action!
632584,36542637,Video,@jmglitxh27 puts up a game-high 34 to lead the @nuggets on the road! #NBAPlayoffs
365075,36542637,Photo,The @nuggets even their series 2-2 with @trailblazers on 116-112 victory in Portland! #NBAKicks
687122,36542637,Video,?? finds the cutting @thats_g_ for the late @nuggets bucket! #NBAPlayoffs
401711,36542637,Photo,Nikola Jokic notches his 4th triple-double of the #NBAPlayoffs for the @nuggets!
693460,36542637,Video,@sdotcurry beats the buzzer for 16 first-half points on TNT! #NBAPlayoffs
693473,36515589,Video,@sdotcurry is feelin’ it with three straight triples! #NBAPlayoffs
632596,36515589,Video,@chiefhasarrived rocks the rim off the @damianlillard dish! #NBAPlayoffs
632596,36515589,Video,@jmglitxh27 hammers it home for the @nuggets on TNT! #NBAPlayoffs
708442,36515589,Video,How @jmglitxh27!!
640656,36515589,Video,Kawhi scores 22 in the second-half to lead @raptors to road W! #NBAPlayoffs
702309,36515589,Video,Kawhi Leonard buries the clutch triple late in the shot-clock! #NBAPlayoffs
566014,36515589,Video,@joelembiid spins to the rim for the @sixers! #NBAPlayoffs #NBAonABC
584415,36515589,Video,@kyle_lowry7 with the pin-point dime to @pskills43 on ABC! #NBAPlayoffs
566014,36515589,Video,@joelembiid with the swat.. @bensimmons with the slam! #NBAPlayoffs #NBAonABC
614813,36515589,Video,@joelembiid flushes it home for the @sixers! #NBAPlayoffs (??: #NBAonABC)
577620,36515589,Video,"The @sixers force the turnover! #NBABreakdown ...
??: @raptors/@sixers G4
?: 3:30pm/et ??: #NBAonABC"
458556,36515589,Photo,The @houstonrockets win Game 3 126-121 in overtime & now trail the @warriors 2-1! #NBAPlayoffs
693948,36515589,Video,@jharden13 triple + floater LATE in OT propels the @houstonrockets to a Game 3 victory! #NBAPlayoffs
357280,36515589,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 13th on the #NBAPlayoffs 3PM list as we celebrate @budweiserusa #LegendaryMoments
432586,36515589,Photo,@money23green has recorded his 6th career #NBAPlayoffs triple-double on #NBAonABC! #NBAPlayoffs
665500,36515589,Video,@cp3 finds a rolling @ccapela15! #NBAonABC #NBAPlayoffs ??
767669,36515589,Video,@warriors turn defense into transition offense! #NBAonABC #NBAPlayoffs
458556,36515589,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 10th on the #NBAPlayoffs SCORING list!
458556,36515589,Photo,Congrats to @easymoneysniper of the @warriors for moving up to 7th on the #NBAPlayoffs 3PM list!
729544,36515589,Video,?? @ccapela15 protects the rim! #NBAonABC #NBAPlayoffs ??
736273,36515589,Video,GAME 3 STARTS NOW! #NBAPlayoffs #NBAonABC
660220,36490250,Video,"@money23green’s defensive rotation leads to a stop! #NBABreakdown .
??: @warriors x @houstonrockets G3
?: 8:30pm/et ??: #NBAonABC"
717900,36490250,Video,"?? STEPH CURRY: ORIGIN STORY ??
...
??: @warriors x @houstonrockets G3
?: 8:30pm/et ??: #NBAonABC"
418531,36490250,Photo,The @warriors look to go up 3-0... while the @houstonrockets look to get on track at home... 8:30pm/et #NBAonABC! #NBAPlayoffs
358820,36490250,Photo,Join us in wishing @vicoladipo of the @pacers a HAPPY 27th BIRTHDAY! #NBABDAY
401987,36490250,Photo,The @bucks and @trailblazers (in 4OT!) each take 2-1 series leads in Friday’s #NBAPlayoffs action!
558424,36490250,Video,"@hoodie5 puts the @trailblazers up, through the lens of our slo-mo #PhantomCam! #NBAPlayoffs"
711577,36490250,Video,@3jmccollum scores 18 of his game-high 41 following regulation! #NBAPlayoffs
711577,36490250,Video,"?? “Both teams competed.. we wanted that game bad..” - @3jmccollum, 60 minutes of action. #NBAPlayoffs"
401987,36490250,Photo,The @trailblazers take a 2-1 series lead over @nuggets with a 4OT 140-137 home win... the second 4OT game in #NBAPlayoffs history!
649110,36490250,Video,@hoodie5 puts the @trailblazers up for good in 4th OT!! #NBAPlayoffs
657061,36490250,Video,@damianlillard drives to send @nuggets/@trailblazers to a 4th OT! (??: ESPN)
663121,36490250,Video,@paulmillsap4 fades to put @nuggets up 4 in 3OT on ESPN!
442328,36490250,Photo,Nikola Jokic notches his 3rd triple-double of the #NBAPlayoffs for the @nuggets! #TripleDoubleAlert
663121,36490250,Video,Late buckets send @nuggets/@trailblazers to OT on ESPN!
705073,36490250,Video,@damianlillard pulls up from deep for the @trailblazers! #NBAPlayoffs (??: ESPN)
590824,36490250,Video,@jmglitxh27 uses the screen for the @nuggets triple on ESPN! #NBAPlayoffs
443953,36490250,Photo,The @bucks take 2-1 series lead over @celtics with 123-116 victory in Boston! #NBAPlayoffs
590824,36490250,Video,@damianlillard gets to the rim for the @trailblazers on ESPN! #NBAPlayoffs
603577,36490250,Video,@giannis_an34’s SWAT sparks the @bucks transition on ESPN!
787871,36490250,Video,?? Jaylen Brown rises up!
641761,36490250,Video,@fchwpo’s block sets up the @foestar13 triple! #NBAPlayoffs (??: ESPN)
864497,36490250,Video,@kyrieirving’s going to work on ESPN! #NBAPlayoffs
939030,36490250,Video,@kyrieirving stops on a dime for the triple! #NBAPlayoffs (??: ESPN)
610631,36463902,Video,"The @celtics and @bucks look to DEFEND! #NBABreakdown
...
?: 8:00pm/et ??: ESPN"
318931,36463902,Photo,"?? Logo Lillard Returns Home ??
...
??: @nuggets x @trailblazers G3
?: 10:30pm/et ??: ESPN"
375497,36463902,Album,Tonight’s ESPN #NBAPlayoffs action features two Game 3s!
